BookCode,ReviewCount,TBPolarity-Mean,TBPolarity-Median,VdComposite-Mean,VdComposite-Median,VdPositive-Mean,VdPositive-Median
22979,7788,0.262690944,0.2489375,0.675650603,0.8591,0.197506549,0.186
22720,7671,0.25962104,0.25,0.67682443,0.8588,0.197533698,0.185
84987,7806,0.25957707,0.246145105,0.662397758,0.8591,0.196394953,0.185
22722,7812,0.258864454,0.246063763,0.667374834,0.85545,0.196406426,0.183
32979,2540,0.094894668,0.1,0.244783976,0.4454,0.127396457,0.119
42720,2524,0.093856367,0.099166667,0.263988312,0.4678,0.126944532,0.119
94987,2591,0.091883814,0.1,0.257836164,0.4574,0.12708298,0.119
32720,2669,0.091688401,0.098064171,0.24981997,0.4719,0.127820907,0.118
52720,2581,0.091285682,0.1,0.25299167,0.4577,0.126314607,0.118
62979,2528,0.091218618,0.098939394,0.250949407,0.4576,0.128297468,0.12
52979,2643,0.090986536,0.1,0.242383617,0.4404,0.126008324,0.118
42722,2514,0.090235483,0.09824275,0.225173986,0.411,0.126113365,0.119
42979,2492,0.08985464,0.095833333,0.246829775,0.4403,0.125995586,0.116
32722,2647,0.088824417,0.0925,0.227701964,0.4138,0.125590102,0.117
104987,2495,0.08779074,0.098717949,0.265604409,0.4803,0.129584369,0.124
62722,2572,0.086792835,0.09375,0.230616252,0.4243,0.123959565,0.1165
52722,2536,0.086644946,0.094659392,0.245456073,0.45895,0.127033517,0.119
114987,2589,0.084133432,0.094444444,0.230517497,0.4386,0.126889919,0.119
62720,2543,0.083797491,0.088888889,0.24656162,0.4492,0.128018482,0.119
124987,2617,0.082365542,0.091203704,0.24582671,0.4396,0.126010317,0.119
